Column1;Column2;Column3;Column4;Column5;Column6
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;TOPKAPI;OSMANLI;41.0139702;28.9701897
SARNIÇ;FATÝH;CANKURTARAN;BÝZANS;41.010019;28.9794509
AHÞAP EV;KADIKÖY;CAFERAÐA;CUMHURÝYET;41.0338085;29.03165
VEZÝR TEKKESÝ - SU HAZNESÝ;EYÜPSULTAN;DÜÐMECÝLER;OSMANLI;41.0447518;28.9292209
NAMAZGÂH MÝHRABÝYESÝ;SARIYER;BAHÇEKÖY KEMER;OSMANLI;41.182605;29.064046
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BÜLBÜL;;41.049433;28.944783
FEYZULLAH EFENDÝ MEDRESESÝ;FATÝH;ÝSKENDERPAÞA;OSMANLI;41.0162268;28.9488125
2 NOLU KAYIKHANE;ARNAVUTKÖY;KARABURUN;;41.3462;28.682
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;TOPKAPI;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;ÇATAKLI;OSMANLI;41.0755;29.7986
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.049433;28.944783
SANDIKÇI TEKKESÝ YERÝ;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0215009;29.016951
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ALÝ KUÞÇU;OSMANLI;41.0193109;28.9474288
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;CUMHURÝYET;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;YAZIMANAYIR;OSMANLI;41.0693;29.6857
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;RUMELÝ HÝSARI;;41.0952869;29.0328543
ZEKERÝYAKÖY MEZARLIÐI;SARIYER;ZEKERÝYAKÖY;OSMANLI;41.1992;29.0284
ÝSMAÝL AÐA KAHVEHANESÝ;BEYKOZ;KANLICA;OSMANLI;41.09995869999999;29.0654475
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;KABAKOZ;OSMANLI;41.1444;29.6893
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
AHÞAP EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
AHÞAP EV;ÜSKÜDAR;VALÝDE-Ý ATÝK;OSMANLI;41.0338085;29.03165
FENERYOLU RECAÝ YAHYA CAMÝÝ - MUVAKKÝTHANE;KADIKÖY;FENERYOLU;CUMHURÝYET;40.979719;29.0474482
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HASEKÝ SULTAN;OSMANLI;41.009966;28.9404917
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KULAKSIZ;OSMANLI;41.049433;28.944783
AHÞAP EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
MARMARA SURLARI - 56. VE 57. KULELER ARASINDAKÝ SUR DUVARI;FATÝH;NÝÞANCA;BÝZANS;41.004783;28.9594145
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;;41.049433;28.944783
HALÝÇ TERSANESÝ - HAVUZ DUVARI II;BEYOÐLU;BEDRETTÝN;OSMANLI;41.0294289;28.9673967
AHÞAP EV;ADALAR;NÝZAM;OSMANLI;40.8653698;29.1165628
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
AHÞAP EV;BAKIRKÖY;YEÞÝLKÖY;;40.993513;28.784624
SUHULET HAN;FATÝH;SURURÝ;OSMANLI;41.0122033;28.97074599999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;ÝNÖNÜ;OSMANLI;41.0521292;28.9665703
MÜÞTEMÝLAT;ADALAR;MADEN;;41.1789064;29.0394778
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HOBYAR;CUMHURÝYET;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CANKURTARAN;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
ESKÝ KIÞLA BÝNASI;SARIYER;TARABYA;OSMANLI;37.57074619999999;44.2969325
BOYVADAOÐLU YALISI;SARIYER;YENÝKÖY;OSMANLI;41.0942056;29.0046195
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0521132;29.05908429999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;SÝLÝVRÝ;SELÝMPAÞA;OSMANLI;41.0788828;28.2182341
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BEREKETZADE;;41.049433;28.944783
AHÞAP EV;FATÝH;HACI KADIN;OSMANLI;41.0588715;28.9948144
ABDULVEDUD (YAVEDUD) SULTAN TÜRBESÝ;EYÜPSULTAN;DEFTERDAR;OSMANLI;41.040701;28.9407229
BEÞÝKÇÝZADE TEKKESÝ - KUYU;FATÝH;HASEKÝ SULTAN;OSMANLI;41.0074;28.9379593
AHÞAP EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
MEHMED ÞERÝF PAÞA KÖÞKLERÝ - AHIRLAR;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0301268;29.0439048
D. DANDORIA APARTMANI;BEYOÐLU;ASMALI MESCÝT;OSMANLI;41.0325234;28.9766294
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0361216;29.0372643
ÇEÞME;BEYKOZ;KANLICA;OSMANLI;41.0927238;29.0937072
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;;41.049433;28.944783
KÂRGÝR APARTMAN;BEYOÐLU;ÞAHKULU;OSMANLI;41.0269587;28.9741416
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;CUMHURÝYET;41.02850670000001;28.9404917
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;BEBEK;OSMANLI;41.068616;29.0285355
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;EMEKYEMEZ;OSMANLI;41.049433;28.944783
PETRÝON ÝÇ SURLAR 4 - arka duvar 4;FATÝH;YAVUZ SULTAN SELÝM;ROMA;41.0293599;28.9512558
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;MERKEZ;OSMANLI;41.0556338;28.9310833
SÝVÝL MÝMARLIK ÖRNEÐÝ;KARTAL;YAKACIK ÇARÞI;OSMANLI;40.9184004;29.2204548
SÝYAVUÞ PAÞA MEDRESESÝ - SÝYAVUÞ PAÞA MEDRESESÝ GÖRÜÞ SAHASINDAKÝ PARSEL;FATÝH;DEMÝRTAÞ;OSMANLI;41.0171643;28.9662658
MESÝH MEHMED PAÞA MEDRESESÝ;FATÝH;KARAGÜMRÜK;OSMANLI;41.0253474;28.9396814
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ASMALI MESCÝT;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
TONOZLU YAPI;EYÜPSULTAN;MERKEZ;;41.05404720000001;28.933941
ANTÝK TAÞ OCAÐI;SÝLÝVRÝ;KADIKÖY;ANTÝK;41.13379;28.365294
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
TEKKE;BEYKOZ;MERKEZ;OSMANLI;41.1429436;29.1782018
SET DUVAR;SARIYER;EMÝRGAN;OSMANLI;41.086824;29.018694
TAHLÝSÝYE ÝSTASYONU_GÖZETLEME KULESÝ;BEYKOZ;RÝVA;OSMANLI;41.224338;29.21842
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;KARTAL;YUKARI;OSMANLI;40.8909757;29.1833985
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.049433;28.944783
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.02850670000001;28.9404917
KARA SURLARI, ÖN SUR, T36A;ZEYTÝNBURNU;MERKEZEFENDÝ;ROMA;41.0182477;28.9232621
KAGÝR YALI;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0385324;29.03237709999999
ASTARCI HANI;FATÝH;BEYAZIT;OSMANLI;41.011734;28.9673539
AHÞAP EV;KADIKÖY;CAFERAÐA;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;DUATEPE;OSMANLI;41.0521292;28.9665703
DÜKKÂN;FATÝH;SARIDEMÝR;OSMANLI;41.0178761;28.9682914
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
SURURÝ DAYE HATUN CAMÝÝ - EK YAPI;FATÝH;SURURÝ;OSMANLI;41.0133658;28.9714977
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
"""T"" PLANLI KORUGAN ";ÇATALCA;YAZLIK;CUMHURÝYET;41.293886;28.517639
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;CÝHANGÝR;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
ÞEBSAFA KÜLLÝYESÝ - SIBYAN MEKTEBÝ;FATÝH;HACI KADIN;OSMANLI;41.03552730000001;28.9660266
TOPKAPI SARAYI IV. AVLU ÇEÞME;FATÝH;CANKURTARAN;;41.0103672;28.9834284
KÂRGÝR EV;FATÝH;BALAT;OSMANLI;41.0292106;28.9484978
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
TOPKAPI SARAYI ASKERÝ ALAN_SULTAN AHMED'ÝN MENZÝL TAÞI;FATÝH;CANKURTARAN;OSMANLI;41.0115195;28.98337889999999
KÂRGÝR APARTMAN;BEYOÐLU;PÜRTELAÞ HASAN EFENDÝ;CUMHURÝYET;41.0304014;28.9885218
TIBBÝ BÝTKÝLER BAHÇESÝ - KAPI;ZEYTÝNBURNU;SEYÝTNÝZAM;;41.009158;28.91613899999999
KÂRGÝR EV;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;REÞÝTPAÞA;OSMANLI;41.0952869;29.0328543
AFGAN TEKKESÝ, HAZÝRESÝ VE ÇEÞMESÝ-YAZLIK KÖÞK ÝLE ÇEÞME ARASINDAKÝ DUVAR;ÜSKÜDAR;MURATREÝS;OSMANLI;41.0215306;29.0292629
YOL (MEVKÝP SOKAK);BEÞÝKTAÞ;KURUÇEÞME;OSMANLI;41.060797;29.0340415
KENAN BEY APARTMANI;BEYOÐLU;KULOÐLU;OSMANLI;41.0048529;28.9597437
AHÞAP EV;FATÝH;MEVLANAKAPI;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;EMÝRGAN;OSMANLI;41.0952869;29.0328543
AHÞAP EV;SÝLÝVRÝ;FATÝH;OSMANLI;41.020169;28.933864
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CERRAHPAÞA;OSMANLI;41.0139702;28.9701897
TAKSÝM TOPÇU KIÞLASI;BEYOÐLU;GÜMÜÞSUYU;OSMANLI;41.0373505;28.9885218
BALTALÝMANI SAHÝL SARAYI;SARIYER;BALTALÝMANI;OSMANLI;41.09681;29.052214
FARRA KÖÞKÜ;ADALAR;NÝZAM;OSMANLI;40.8740929;29.0898721
KARGÝR EV;FATÝH;ALEMDAR;OSMANLI;41.0096655;28.9754242
TOPKAPI SARAYI-HAVUZ;FATÝH;CANKURTARAN;OSMANLI;41.0115195;28.98337889999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;BEYLERBEYÝ;OSMANLI;41.0422255;29.044538
MUSTAFA AÐA ÇEÞMESÝ;BEYOÐLU;PÝRÝPAÞA;OSMANLI;41.0417693;28.9509121
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;KUMKÖY (KÝLYOS);OSMANLI;41.24919999999999;29.0375
ÝÞYERÝ;FATÝH;RÜSTEMPAÞA;CUMHURÝYET;41.015386;28.959495
AFÝFE HATUN TEKKESÝ HAZÝRESÝ;EYÜPSULTAN;NÝÞANCI;OSMANLI;41.04819800000001;28.93513339999999
ÇEÞME;BEÞÝKTAÞ;VÝÞNEZADE;OSMANLI;41.0415031;28.9987081
AHÞAP EV;FATÝH;AYVANSARAY;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
ÞEHZADE KÜLLÝYESÝ - KUYU;FATÝH;KALENDERHANE;OSMANLI;41.0141453;28.9563117
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
BAÞÇI HACI MAHMUT EFENDÝ ÇEÞMESÝ;FATÝH;HASEKÝ SULTAN;OSMANLI;41.0294353;28.9819538
ORTA ÇEÞME;BEYKOZ;KANLICA;OSMANLI;41.1473627;29.0910813
HAMÝDÝYE ERKEK RÜÞTÝYESÝ;KADIKÖY;ZÜHTÜPAÞA;OSMANLI;40.981786;29.038758
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KANDÝLLÝ;OSMANLI;41.066756;29.06053889999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;CÝHANGÝR;CUMHURÝYET;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0521132;29.05908429999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYKOZ;MERKEZ;OSMANLI;41.1415;29.14399999999999
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.02850670000001;28.9404917
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BÜLBÜL;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;BEYLERBEYÝ;OSMANLI;41.0422255;29.044538
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;CUMHURÝYET;41.049433;28.944783
AHÞAP EV;KADIKÖY;CAFERAÐA;OSMANLI;41.0338085;29.03165
YALI;SARIYER;SARIYER MERKEZ;CUMHURÝYET;41.1622917;29.0474203
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;ÞUAYÝPLÝ;OSMANLI;41.13406699999999;29.802176
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;ÝSLAMBEY;OSMANLI;41.0556338;28.9310833
KÝLÝSE KALINTISI;BEYKOZ;ANADOLU KAVAÐI;;41.1339643;29.09476239999999
CENEVÝZ EVÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KÜÇÜKÇAMLICA;OSMANLI;41.0142241;29.066357
FERHAT PAÞA ÇEÞMESÝ;BAYRAMPAÞA;YENÝDOÐAN;OSMANLI;41.0414255;28.915968
AHÞAP EV;FATÝH;KÜÇÜK AYASOFYA;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;RASÝMPAÞA;OSMANLI;40.9919939;29.0291886
DUVAR;FATÝH;EMÝN SÝNAN;OSMANLI;41.0068163;28.9699665
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
KÂRGÝR EV;FATÝH;ZEYREK;OSMANLI;41.0195642;28.9549323
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.049433;28.944783
AHÞAP EV;FATÝH;SÜLEYMANÝYE;OSMANLI;41.0588715;28.9948144
ÝSOV MESLEKÝ VE TEKNÝK ANADOLU LÝSESÝ - 5 NOLU YAPI ;ÞÝÞLÝ;ESENTEPE;CUMHURÝYET;41.0721698;29.0155247
ASLAN FRESCO HAN;FATÝH;MERCAN;OSMANLI;41.013788;28.9677834
AHÞAP EV;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.0338085;29.03165
AHÞAP EV;BEYKOZ;KANLICA;OSMANLI;41.0850841;29.0066473
AHÞAP KONAK;BAKIRKÖY;YEÞÝLKÖY;;40.9776484;28.8188948
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;RUMELÝ HÝSARI;OSMANLI;41.0952869;29.0328543
KÂRGÝR EV;FATÝH;ZEYREK;CUMHURÝYET;41.0195642;28.9549323
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;YILDIZ;OSMANLI;41.0471495;29.0139863
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;GÜMÜÞSUYU;CUMHURÝYET;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ALEMDAR;OSMANLI;41.0139702;28.9701897
TEK KATLI KAHVEHANE;KÜÇÜKÇEKMECE;TEVFÝKBEY;OSMANLI;41.0072823;28.7960165
FISTIKLI MESCÝDÝ - MEÞRUTA;ÜSKÜDAR;BURHANÝYE;;41.0362216;29.0456398
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
RUSYA FEDERASYONU ÝSTANBUL BAÞKONSOLOSLUÐU SEFARETHANESÝ - KÝLÝSE;SARIYER;BÜYÜKDERE;OSMANLI;41.1635035;29.0450624
AHÞAP EV;TUZLA;CAMÝ;OSMANLI;40.8982305;29.3598782
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HACIMÝMÝ;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AKSARAY;OSMANLI;41.0139702;28.9701897
PAÞA BABA TEKKESÝ HAZÝRESÝ;BEYOÐLU;KATÝPMUSTAFA ÇELEBÝ;OSMANLI;41.0333045;28.9837182
AHÞAP EV;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0338085;29.03165
ÇÝFTLÝK YAPISI;AVCILAR;FÝRUZKÖY;;41.0602745;28.7261351
SARNIÇ;BEYKOZ;ANADOLU HÝSARI;BÝZANS;41.0734521;29.0786887
AHÞAP YALI;KADIKÖY;CAFERAÐA;OSMANLI;40.9837196;29.0256257
HIRAMÝ AHMET PAÞA CAMÝÝ;EYÜPSULTAN;DEFTERDAR;OSMANLI;41.027911;28.945908
HIMIÞ EV;ÇATALCA;FATÝH;;41.4913801;28.1664801
KARA SURLARI, ANA SUR, T35;ZEYTÝNBURNU;KAZLIÇEÞME;ROMA;41.014811;28.922123
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;DEÐÝRMENÇAYIRI;;40.978352;29.663659
DÜKKÂN;FATÝH;MERCAN;OSMANLI;41.0178761;28.9682914
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0177011;28.9619616
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BEREKETZADE;;41.049433;28.944783
BALÝ PAÞA CAMÝÝ HAZÝRESÝ;FATÝH;AKÞEMSETTÝN;OSMANLI;41.019081;28.943879
ZÜHDÎ PAÞA SIBYAN MEKTEBÝ;KADIKÖY;ZÜHTÜPAÞA;OSMANLI;41.03552730000001;28.9660266
AHÞAP EV;KADIKÖY;CAFERAÐA;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HACIAHMET;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
SU TERAZÝSÝ;GÜNGÖREN;TOZKOPARAN;OSMANLI;41.004905;28.973003
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER YENÝMAHALLE;OSMANLI;41.1814742;29.0385466
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
KARGÝR ÜSTÜ AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
DEMÝRKAPI KIÞLASI_BACA;FATÝH;HOCAPAÞA;;41.0132651;28.9771421
AHÞAP EV;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0338085;29.03165
MUHAMMED BEDREDDÝN TÜRBESÝ;FATÝH;HIRKA-Ý ÞERÝF;OSMANLI;41.021944;28.9373879
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.049433;28.944783
AHÞAP EV (EMEK YEMEZ TEKKESÝ YERÝ);ÜSKÜDAR;SALACAK;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;NÝZAM;OSMANLI;40.8622396;29.1169363
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KALYONCU KULLUÐU;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.02850670000001;28.9404917
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HACIMÝMÝ;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KOCATEPE;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;BÜYÜKDERE;OSMANLI;41.1635035;29.0450624
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;KALEM;OSMANLI;41.174903;29.609588
KARGÝR EV;FATÝH;BALAT;OSMANLI;41.0292106;28.9484978
EYÜP SULTAN KONAÐI;EYÜPSULTAN;ÝSLAMBEY;OSMANLI;41.0468641;28.9333771
EMÝRGAN CAMÝÝ -  HÜNKAR KASRI;SARIYER;EMÝRGAN;OSMANLI;41.10466539999999;29.0563416
KÂRGÝR BÝNA;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
KÂRGÝR APARTMAN;FATÝH;MÝMAR HAYRETTÝN;OSMANLI;41.0074242;28.9666918
AHÞAP EV;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0338085;29.03165
ÇAKMAK HATTI SAVUNMA YAPISI;ÇATALCA;NAKKAÞ;;41.187674;28.555657
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.02850670000001;28.9404917
MÜÞTEMÝLAT;FATÝH;HACI KADIN;OSMANLI;41.0186888;28.9594145
TAVAÞÝ HASAN AÐA CAMÝÝ HAZÝRESÝ;ÜSKÜDAR;AHMEDÝYE;OSMANLI;41.0178989;29.0175369
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KATÝPMUSTAFA ÇELEBÝ;OSMANLI;41.049433;28.944783
YENÝ VALÝDE CAMÝÝ ÝMARETÝ - FODLA FIRINI;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0254923;29.0143528
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;BÜYÜKDERE;;41.1635035;29.0450624
KARA SURLARI, ANA SUR, T1;ZEYTÝNBURNU;KAZLIÇEÞME;ROMA;41.014811;28.922123
KÂRGÝR EV;FATÝH;BALAT;OSMANLI;41.0292106;28.9484978
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ÝSKENDERPAÞA;OSMANLI;41.0139702;28.9701897
BAHÇELÝ AHÞAP EV;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0338085;29.03165
AHÞAP EV;ÞÝLE;ALACALI;OSMANLI;41.18369999999999;29.45649999999999
AHÞAP EV;ÜSKÜDAR;SALACAK;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;HALASKARGAZÝ;CUMHURÝYET;41.0521292;28.9665703
CELALETTÝN BEY KÖÞKÜ - SARNIÇ;ÜSKÜDAR;KANDÝLLÝ;OSMANLI;41.0739284;29.0605867
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;KABAKOZ;OSMANLI;41.1444;29.6893
AHÞAP EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
ÇEVRE DUVARI;FATÝH;SÜLEYMANÝYE;OSMANLI;41.0136361;28.9630532
KALAFATÇI HAMAMI;BEYOÐLU;PÝRÝPAÞA;;41.0410025;28.9507138
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KATÝPMUSTAFA ÇELEBÝ;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;SÝNANPAÞA;;41.0418657;29.0051116
PEMBE KÖÞK;ADALAR;NÝZAM;OSMANLI;40.8740929;29.0898721
KARA SURLARI, ÖN SUR, T58A - 4.ASKERÝ KAPI BEDEN DUVARI;ZEYTÝNBURNU;MERKEZEFENDÝ;ROMA;40.9922389;28.84188249999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;YENÝKÖY;OSMANLI;41.0952869;29.0328543
BULGUR PALAS - KAPI;FATÝH;AKSARAY;;41.00708240000001;28.9439984
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AKSARAY;OSMANLI;41.0139702;28.9701897
